canonical_market_id,carver_instrument,globex_asset,trade_date,present_in,missing_from
crude_wti,CRUDE_W,CL,2011-07-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-09-05,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-11-24,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-12-26,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-01-02,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-01-16,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-02-20,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-05-28,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-07-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-09-03,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-11-22,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2012-12-25,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2013-01-01,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2013-01-21,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2013-02-18,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2013-05-27,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2013-07-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2013-09-02,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2013-12-25,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-01-01,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-01-20,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-02-17,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-03-24,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-04-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-04-08,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-04-09,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-04-29,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-05-26,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-06-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-06-13,pysystemtrade,globex
crude_wti,CRUDE_W,CL,2014-07-31,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-08-01,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-08-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-08-05,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-09-23,pysystemtrade,globex
crude_wti,CRUDE_W,CL,2014-09-24,pysystemtrade,globex
crude_wti,CRUDE_W,CL,2014-09-25,pysystemtrade,globex
crude_wti,CRUDE_W,CL,2014-12-25,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2014-12-26,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2015-01-01,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2015-09-01,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2015-10-29,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2015-10-30,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2020-02-28,pysystemtrade,globex
crude_wti,CRUDE_W,CL,2020-07-03,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2020-09-07,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2020-11-26,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2021-01-18,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2021-02-15,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2021-05-31,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2021-07-05,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2021-09-06,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2021-11-25,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-01-17,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-02-21,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-05-30,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-06-20,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-07-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-09-05,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-11-24,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2022-12-26,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-01-02,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-01-16,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-02-20,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-05-29,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-06-19,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-09-04,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-11-23,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2023-12-25,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2024-01-01,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2024-01-15,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2024-02-19,globex,pysystemtrade
gold,GOLD,GC,2010-07-05,globex,pysystemtrade
gold,GOLD,GC,2010-09-06,globex,pysystemtrade
gold,GOLD,GC,2010-09-08,globex,pysystemtrade
gold,GOLD,GC,2010-09-28,globex,pysystemtrade
gold,GOLD,GC,2010-11-25,globex,pysystemtrade
gold,GOLD,GC,2011-01-17,globex,pysystemtrade
gold,GOLD,GC,2011-02-21,globex,pysystemtrade
gold,GOLD,GC,2011-03-22,globex,pysystemtrade
gold,GOLD,GC,2011-04-11,globex,pysystemtrade
gold,GOLD,GC,2011-05-30,globex,pysystemtrade
gold,GOLD,GC,2011-07-04,globex,pysystemtrade
gold,GOLD,GC,2011-09-05,globex,pysystemtrade
gold,GOLD,GC,2011-11-24,globex,pysystemtrade
gold,GOLD,GC,2011-12-26,globex,pysystemtrade
gold,GOLD,GC,2012-01-02,globex,pysystemtrade
gold,GOLD,GC,2012-01-16,globex,pysystemtrade
gold,GOLD,GC,2012-02-20,globex,pysystemtrade
gold,GOLD,GC,2012-03-12,globex,pysystemtrade
gold,GOLD,GC,2012-04-06,pysystemtrade,globex
gold,GOLD,GC,2012-05-28,globex,pysystemtrade
gold,GOLD,GC,2012-07-04,globex,pysystemtrade
gold,GOLD,GC,2012-09-03,globex,pysystemtrade
gold,GOLD,GC,2012-11-22,globex,pysystemtrade
gold,GOLD,GC,2012-12-25,globex,pysystemtrade
gold,GOLD,GC,2013-01-01,globex,pysystemtrade
gold,GOLD,GC,2013-01-21,globex,pysystemtrade
gold,GOLD,GC,2013-02-18,globex,pysystemtrade
gold,GOLD,GC,2013-05-27,globex,pysystemtrade
gold,GOLD,GC,2013-07-04,globex,pysystemtrade
gold,GOLD,GC,2013-09-02,globex,pysystemtrade
gold,GOLD,GC,2013-12-25,globex,pysystemtrade
gold,GOLD,GC,2014-01-01,globex,pysystemtrade
gold,GOLD,GC,2014-01-20,globex,pysystemtrade
gold,GOLD,GC,2014-02-17,globex,pysystemtrade
gold,GOLD,GC,2014-04-04,globex,pysystemtrade
gold,GOLD,GC,2014-04-08,globex,pysystemtrade
gold,GOLD,GC,2014-04-09,globex,pysystemtrade
gold,GOLD,GC,2014-04-29,globex,pysystemtrade
gold,GOLD,GC,2014-05-26,globex,pysystemtrade
gold,GOLD,GC,2014-06-13,pysystemtrade,globex
gold,GOLD,GC,2014-07-04,globex,pysystemtrade
gold,GOLD,GC,2014-07-31,globex,pysystemtrade
gold,GOLD,GC,2014-08-01,globex,pysystemtrade
gold,GOLD,GC,2014-08-04,globex,pysystemtrade
gold,GOLD,GC,2014-08-05,globex,pysystemtrade
gold,GOLD,GC,2014-09-01,globex,pysystemtrade
gold,GOLD,GC,2014-09-23,pysystemtrade,globex
gold,GOLD,GC,2014-09-24,pysystemtrade,globex
gold,GOLD,GC,2014-09-25,pysystemtrade,globex
gold,GOLD,GC,2014-12-25,globex,pysystemtrade
gold,GOLD,GC,2014-12-26,globex,pysystemtrade
gold,GOLD,GC,2014-12-31,pysystemtrade,globex
gold,GOLD,GC,2015-01-01,globex,pysystemtrade
gold,GOLD,GC,2015-02-16,globex,pysystemtrade
gold,GOLD,GC,2015-09-07,globex,pysystemtrade
gold,GOLD,GC,2015-10-29,globex,pysystemtrade
gold,GOLD,GC,2015-10-30,globex,pysystemtrade
gold,GOLD,GC,2016-02-15,globex,pysystemtrade
gold,GOLD,GC,2016-09-05,globex,pysystemtrade
gold,GOLD,GC,2016-12-26,globex,pysystemtrade
gold,GOLD,GC,2017-01-02,globex,pysystemtrade
gold,GOLD,GC,2017-02-20,globex,pysystemtrade
gold,GOLD,GC,2017-07-10,globex,pysystemtrade
gold,GOLD,GC,2017-07-11,globex,pysystemtrade
gold,GOLD,GC,2017-09-04,globex,pysystemtrade
gold,GOLD,GC,2017-12-25,globex,pysystemtrade
gold,GOLD,GC,2018-01-01,globex,pysystemtrade
gold,GOLD,GC,2018-02-19,globex,pysystemtrade
gold,GOLD,GC,2018-05-28,globex,pysystemtrade
gold,GOLD,GC,2018-06-07,globex,pysystemtrade
gold,GOLD,GC,2018-09-03,globex,pysystemtrade
gold,GOLD,GC,2018-09-27,globex,pysystemtrade
gold,GOLD,GC,2020-02-28,pysystemtrade,globex
gold,GOLD,GC,2020-07-03,globex,pysystemtrade
gold,GOLD,GC,2020-09-07,globex,pysystemtrade
gold,GOLD,GC,2020-11-26,globex,pysystemtrade
gold,GOLD,GC,2021-01-18,globex,pysystemtrade
gold,GOLD,GC,2021-02-15,globex,pysystemtrade
