asset,yr,n_days,avg_spread,avg_pct_spread,pct_days_backwardated
GC,2026,12,-16.983333333333274,-0.37929541815226797,8.333333333333332
NQ,2010,172,2.2122093023255816,0.11269163008075331,87.79069767441861
NQ,2011,291,4.048109965635739,0.17860193075160102,90.03436426116839
NQ,2012,274,6.256386861313868,0.23810697269233203,87.95620437956204
NQ,2013,269,6.327137546468402,0.2080641082149537,90.33457249070632
NQ,2014,289,7.596885813148789,0.20058532104920015,96.88581314878893
NQ,2015,292,6.927226027397261,0.15694118832309834,93.4931506849315
NQ,2016,301,6.037375415282392,0.13530825732992655,91.36212624584718
NQ,2017,307,-7.100162866449511,-0.1172382796189334,13.680781758957655
NQ,2018,312,-25.233173076923077,-0.35779948047400745,0.641025641025641
NQ,2019,310,-23.17983870967742,-0.30482910353624826,0.3225806451612903
NQ,2020,311,9.244372990353698,0.09384105896029105,72.9903536977492
NQ,2021,311,8.541800643086816,0.06153567711877165,79.42122186495176
NQ,2022,310,-60.86854838709677,-0.5042466096266579,11.612903225806452
NQ,2023,309,-168.56148867313917,-1.1585557212856803,0.6472491909385114
NQ,2024,313,-235.98801916932908,-1.2136680044218788,0.0
NQ,2025,312,-228.60416666666666,-0.9993662511184424,0.0
NQ,2026,144,-240.29340277777777,-0.8944403699783591,0.6944444444444444
SI,2010,179,-0.03522346368715099,-0.15354429010948484,35.754189944134076
SI,2011,309,-0.055809061488672936,-0.13616931854768438,34.627831715210355
SI,2012,311,-0.021125401929260233,-0.06696640924761288,38.263665594855304
SI,2013,301,-0.010033222591362136,-0.035187991554227846,35.880398671096344
SI,2014,299,-0.014732441471571904,-0.07347155041896536,31.77257525083612
SI,2015,309,-0.005760517799352812,-0.03554604207690456,37.54045307443366
SI,2016,310,-0.019709677419354855,-0.11224465955362332,30.967741935483872
SI,2017,310,-0.022209677419355,-0.13041634129298188,20.0
SI,2018,311,-0.031205787781350545,-0.19952477497564625,14.790996784565916
SI,2019,311,-0.034421221864951834,-0.21336178838703385,19.935691318327976
SI,2020,310,-0.04038709677419348,-0.20243427543973955,28.387096774193548
SI,2021,310,-0.0011290322580646238,-0.004498860112685177,39.35483870967742
SI,2022,310,-0.01582258064516136,-0.07441619147761562,38.70967741935484
SI,2023,310,-0.09169354838709666,-0.38687577490008046,16.7741935483871
SI,2024,313,-0.09805111821086265,-0.34768583024838723,18.210862619808307
SI,2025,312,-0.1444871794871796,-0.35340187486130914,16.346153846153847
SI,2026,143,-0.28461538461538416,-0.31382324851185855,25.874125874125873
ZC,2010,168,-12.1875,-2.6073683201239732,0.0
ZC,2011,286,-1.8164335664335665,-0.2800483700942505,22.377622377622377
ZC,2012,293,9.984641638225256,1.7804207856122947,48.80546075085324
ZC,2013,263,20.76615969581749,3.500178536626496,62.3574144486692
ZC,2014,251,-6.313745019920319,-1.6099130301793645,16.733067729083665
ZC,2015,252,-8.05952380952381,-2.088362568357652,0.3968253968253968
ZC,2016,252,-6.184523809523809,-1.7382957507400199,1.984126984126984
ZC,2017,251,-10.111553784860558,-2.74900200625156,0.0
ZC,2018,253,-10.150197628458498,-2.693602722251955,0.0
ZC,2019,252,-8.799603174603174,-2.2709406719552834,0.7936507936507936
ZC,2020,252,-5.497023809523809,-1.5252365621021213,7.936507936507936
ZC,2021,252,17.71527777777778,3.0284312772080093,53.17460317460318
ZC,2022,251,11.937250996015937,1.7783905169120195,60.55776892430279
ZC,2023,250,10.82,1.824387324868682,50.4
ZC,2024,252,-12.33829365079365,-2.8595571150192867,1.984126984126984
ZC,2025,251,-9.026892430278885,-2.014169009265226,15.936254980079681
ZC,2026,116,-9.672413793103448,-2.133356445700549,0.0
ZL,2010,168,-0.272619047619047,-0.5933495204257149,2.380952380952381
ZL,2011,286,-0.3279020979020978,-0.5857668234629843,2.797202797202797
ZL,2012,293,-0.3206143344709898,-0.6116992290214687,1.023890784982935
ZL,2013,263,-0.1786311787072239,-0.3903666437487359,17.870722433460077
